stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_accesible
290,BRLB1,Baldwin Rd + Long Beach Rd,,40.696407,-73.615547,,,,,,
291,DMTG1,Grand Ave + DeMott Ave,,40.674986,-73.612364,,,,,,
292,MKGR1,Grand Ave + Merrick Rd,,40.65087,-73.612388,,,,,,
293,ATGR3,Atlantic Ave + Grand Ave,,40.638573,-73.612803,,,,,,
294,GVMK1,Guy Lombardo Ave + Merrick Rd,,40.65355,-73.584151,,,,,,
295,GVAT1,Guy Lombardo Ave + Atlantic Ave,,40.645851,-73.582969,,,,,,
297,FTWT1,Front St + Woodcleft Ave,,40.63994,-73.58302,,,,,,
299,FTLB1,S Long Beach Ave + Front St,,40.639579,-73.587059,,,,,,
300,CSNO1,S Bayview Ave + Casino St,,40.639795,-73.593356,,,,,,
301,ATBY1,S Bayview Ave + Atlantic Ave,,40.644923,-73.592714,,,,,,
302,MKBY1,Merrick Rd + South Bayview Ave,,40.651997,-73.593915,,,,,,
304,WHMPW,Hempstead Tpke & Westminster Rd,,40.705025,-73.643535,,,,,,
305,IPRR1,Island Park LIRR,,40.600299,-73.656005,,,,,,
306,OCMT1,Long Beach Rd + Mott St,,40.625669,-73.639796,,,,,,
307,LKVE1,Woodfield Rd + Eagle Ave,,40.68633,-73.652434,,,,,,
308,WAOC1,Old Country Rd + Washington Ave,,40.740139,-73.633438,,,,,,
310,RVTF1,Roosevelt Field Terminal,,40.735197,-73.610272,,,,,,
312,WOAK1,Westbury Blvd + Oak St,,40.722788,-73.606582,,,,,,
313,SSPW1,Molloy College,,40.68649,-73.624636,,,,,,
317,RVTM1,Nassau Rd & Babylon Tpke,,40.67831,-73.588967,,,,,,
318,RVBT1,Babylon Tpke + Nassau Rd (Mollineaux,,40.678587,-73.589005,,,,,,
320,NARG1,Nassau Rd + Argyle Ave,,40.694538,-73.604754,,,,,,
321,BMRR1,Bellmore LIRR Station,,40.669491,-73.527344,,,,,,
322,CMPM1,Camp Ave + Merrick Ave,,40.676661,-73.557695,,,,,,
323,RVPA1,Park Ave & Washington Ave,,40.68005,-73.584128,,,,,,
324,FTUN1,Uniondale Ave + Front St,,40.709533,-73.592583,,,,,,
326,BMMB1,Merrick Rd + Bedford Ave,,40.663695,-73.525791,,,,,,
327,FTMK1,Front St + Merrick Ave,,40.714091,-73.573231,,,,,,
328,NCMC1,Nassau Univ Medical Center,,40.725122,-73.557063,,,,,,
331,LTNN1,Newbridge Rd + Levittown Pkwy,,40.743186,-73.535567,,,,,,
332,CAOC1,Carman Ave + Old Country Rd,,40.755768,-73.553318,,,,,,
333,HKRR1,Hicksville LIRR Station,,40.767066,-73.527584,,,,,,
334,BWYM1,Broadway Mall - N Broadway,,40.773554,-73.528393,,,,,,
341,MKRR1,Merrick LIRR Station,,40.663822,-73.552318,,,,,,
342,MKJU1,MERRICK AVE & JERUSALEM AVE.,,40.691444,-73.563558,,,,,,
343,HPGL1,G Curtiss Bvd @Reckson Pl. N Entran,,40.718867,-73.587074,,,,,,
344,MKMR1,Merrick Ave + Merrick Rd,,40.656543,-73.549271,,,,,,
345,AYRR1,Amityville LIRR Station,,40.68005,-73.41954,,,,,,
346,SUNQE1,SUNRISE HWY & UNQUA RD,,40.678091,-73.442312,,,,,,
347,BSUN1,SUNRISE HWY &  BROADWAY,,40.675911,-73.471475,,,,,,
348,BDJU1,BROADWAY & JERUSALEM AVE,,40.692322,-73.465471,,,,,,
349,WGJU1,Jerusalem Ave & Washington Ave,,40.691037,-73.485376,,,,,,
350,WNJU1,Jerusalem Ave. & Wantagh Ave.,,40.693505,-73.507769,,,,,,
351,BMJU1,JERUSALEM AVE &  BELLMORE RD,,40.69139,-73.53356,,,,,,
352,UNJU1,JERUSALEM AVE & UNIONDALE AVE,,40.700298,-73.593448,,,,,,
353,BOMR1,Bayview Ave + Old Mill Rd,,40.794664,-73.74534,,,,,,
354,AMNR1,Arrandle Ave + Middle Neck Rd,,40.806213,-73.735341,,,,,,
355,ESRK1,E Shore Rd + Kenilworth Terrace,,40.820359,-73.73382,,,,,,
356,SFRD1,Station Rd + Fairview Ave,,40.805785,-73.719883,,,,,,
358,ACAD1,Kings Point Rd + Kings Point Acade,,40.812785,-73.757952,,,,,,
361,HFTC1,Hofstra Hempstead Tpke + California,,40.716014,-73.599533,,,,,,
362,HPDV1,Hempstead Tpke + Division Ave,,40.724874,-73.527981,,,,,,
363,HPWN1,Hempstead Tpke + Wantagh Ave,,40.725661,-73.497689,,,,,,
364,HPST1,STEWART AVE + HEMPSTEAD TPKE,,40.725738,-73.482732,,,,,,
365,MAIN1,Main St + Route 109,,40.727663,-73.444594,,,,,,
366,CKNM1,Conklin St + Main St,,40.732899,-73.445922,,,,,,
367,C1101,Conklin St + Route 110,,40.738582,-73.423447,,,,,,
368,SUNY1,State University at Farmingdale,,40.755915,-73.42743,,,,,,
369,NEWS1,Newsday Pinelawn Rd,,40.762331,-73.403684,,,,,,
370,R1091,Rte 109 + Straight Path,,40.714573,-73.381605,,,,,,
371,WNRR1,Wantagh LIRR,,40.672501,-73.510407,,,,,,
372,WNJR1,Old Jerusalem Rd + Wantagh Ave,,40.702167,-73.505694,,,,,,
373,GRPE1,Gardiners Ave + Prairie Lane,,40.711961,-73.5153,,,,,,
375,HPJA1,Hempstead Tpke + Jerusalem Ave,,40.726036,-73.514644,,,,,,
377,CFWJ1,Cornflower Rd + Jerusalem Ave,,40.733459,-73.514099,,,,,,
378,FCOC1,Old Country Rd OppFamily Court,,40.755964,-73.553499,,,,,,
379,SOBO1,Old Country Rd + S Oyster Bay,,40.769682,-73.501446,,,,,,
380,MTHO1,Old Country Rd + Manetto Hill Rd,,40.776596,-73.467218,,,,,,
381,NWOC1,Old Country Rd + Newtown Rd,,40.780064,-73.451631,,,,,,
382,MTHW1,Manetto Hill Rd + Woodbury Rd,,40.800197,-73.483309,,,,,,
383,JROP1,Jericho Tpke + Plainview Rd,,40.81962,-73.452519,,,,,,
384,WWSC1,S Huntington @  Walt Whitman Mall,,40.819184,-73.408455,,,,,,
385,BPRR1,BETHPAGE LIRR STATION,,40.741637,-73.481654,,,,,,
386,HPHK1,HICKSVILLE RD + HEMPSTEAD TPKE,,40.725542,-73.488508,,,,,,
387,HKBD1,HICKSVILLE RD + BOUNDARY AVE,,40.717002,-73.483485,,,,,,
389,BDBW1,BOUNDARY AVE + BROADWAY,,40.717235,-73.461107,,,,,,
390,MARR1,Massapequa LIRR Station,,40.67616,-73.471691,,,,,,
413,MRCY1,Mercy Medical,,40.686176,-73.634285,,,,,,
414,POST1,LIU Post,,40.820642,-73.597585,,,,,,
417,GVLE1,Northern Blvd + Glen Cove Rd,,40.809855,-73.628197,,,,,,
418,GLEN1,Pratt Blvd + Bridge St,,40.863038,-73.631858,,,,,,
419,GWLG1,Shore Rd + Scudders Lane,,40.823919,-73.645494,,,,,,
420,CTRN1,Roslyn Clock Tower,,40.800007,-73.65121,,,,,,
421,PLDM1,Northern Blvd & Plandome Rd,,40.792855,-73.697175,,,,,,
422,LVGN1,Northern Blvd & Lakeville Rd,,40.782164,-73.716089,,,,,,
423,CLGN1,Northern Blvd + Glenwood St Cityli,,40.772478,-73.73373,,,,,,
426,CWST1,SUNY - Old Westbury,,40.799523,-73.549663,,,,,,
427,J1821,Hillside Ave + 178 179th St. Subway,,40.712671,-73.78417,,,,,,
428,CHRY1,Hillside Ave + Cherry Lane,,40.739105,-73.70052,,,,,,
429,MRCS1,Hillside Ave + Marcus Ave,,40.751551,-73.673119,,,,,,
430,WILSW,Willis Ave @ Hillside Ave.,,40.756421,-73.645189,,,,,,
431,RSRDW,Hillside Ave + Roslyn Rd,,40.758345,-73.635165,,,,,,
432,JYCT1,Jericho Tpke + Jay Ct,,40.756014,-73.622696,,,,,,
433,WEST1,Maple Ave + Post Ave,,40.755884,-73.587607,,,,,,
434,RSRR1,Roslyn LIRR Station,,40.792051,-73.643479,,,,,,
436,PWRR1,Port Washington LIRR Station,,40.830533,-73.687925,,,,,,
437,MNRH1,Orchard Beach Blvd + Park Lane,,40.838666,-73.71691,,,,,,
438,FPKT1,Jericho Tpke + Tyson Ave,,40.728423,-73.705284,,,,,,
439,GCNU1,Jericho Tpke + Nassau Blvd,,40.74119,-73.663062,,,,,,
440,EMGC1,Glenn Curtiss Blvd,,40.720312,-73.577145,,,,,,
442,GVRR1,Greenvale LIRR Station,,40.814856,-73.626598,,,,,,
443,GNHD1,Glen Cove Ave + Glen Head Rd,,40.832848,-73.629877,,,,,,
446,MVBR1,Ellison Ave. + Privado Road,,40.745028,-73.592244,,,,,,
450,NCCE0,Nassau Comm Coll @ Endo Blvd,,40.73178,-73.591734,,,,,,
451,NCCE1,Nassau Comm Coll @ Endo Blvd,,40.731739,-73.591774,,,,,,
452,NCCE2,Nassau Com College @ Endo Blvd,,40.73179,-73.591567,,,,,,
453,NCCE3,Nassau Com Coll @ Endo Blvd,,40.7317,-73.591781,,,,,,
468,1018,Green Acres Rd@ Sunrise Hwy(BestBuy,,40.6639,-73.7247,,,,,,
469,2953,Prospect Ave + Hollywood Ave,,40.649369,-73.688968,,,,,,
473,2296,Munro Blvd + Horton Rd,,40.649915,-73.693112,,,,,,
475,2294,Munro Blvd + Gordon Rd,,40.649931,-73.694854,,,,,,
476,399,Central Ave + Hamilton Pl,,40.665321,-73.708263,,,,,,
477,6297,Munro Blvd + Locust St,,40.649869,-73.697631,,,,,,
478,421,Central Ave + Pilgrim Pl,,40.666124,-73.708284,,,,,,
479,2293,Munro Blvd + Amherst Rd,,40.649995,-73.700376,,,,,,
481,434,Central Ave + Stein St,,40.669945,-73.708327,,,,,,
483,396,Central Ave + Felton Ave,,40.671568,-73.708691,,,,,,
484,475,Cochran Pl Opp  South Dr,,40.652143,-73.702308,,,,,,
485,429,Central Ave + Rose Ave,,40.673618,-73.709239,,,,,,
486,472,Cochran Pl + Pine La,,40.655232,-73.702366,,,,,,
488,474,Cochran Pl + Roosevelt Ave,,40.658805,-73.702239,,,,,,
490,3012,Roosevelt Ave + S Franklin Ave,,40.659006,-73.704364,,,,,,
491,418,Central Ave + North Dr,,40.678176,-73.710018,,,,,,
492,3007,Roosevelt Ave + Derby St,,40.658563,-73.706542,,,,,,
493,441,Central Ave + Wells Rd,,40.679743,-73.710716,,,,,,
494,3014,Roosevelt Ave + Mill Rd,,40.658258,-73.709187,,,,,,
495,408,Central Ave + Seaton Gate,,40.682116,-73.712437,,,,,,
497,431,Central Ave + Salem Gate,,40.683213,-73.71412,,,,,,
